product_name,jumia,kilimall,cheapest,timestamp
"HD Night Vision Driving Glasses with Polarized Lenses, Anti-Glare Wrap-Around Fit Over Prescription Eyewear for Men and Women, Yellow Tint",1173.0,,jumia,
"Apple Original iPhone Wired Earphones with Lightning Connector, Built-in Mic & Volume Control – Compatible with iPhone 14/13/12/11 Pro Max, XS, XR, 8/7 Plus & All iOS Devices – Premium Sound & Durability (White)",1799.0,,jumia,
"4K DisplayPort To HDMI 4K@60Hz, 2K@165Hz For Computer Laptop",804.0,,jumia,
Hidden Spy Camera 1080P HD WiFi Clock Cameras Wireless Home Security Nanny Cam,9999.0,,jumia,
"Wired in-ear headphones with high-quality microphone, 9D sound effects, 1.5-meter cable, 3.5mm plug, black",1620.0,,jumia,
New LIGE Round Smart Watches Men/Women Full Touch Screen Sport Fitness Smart Watch IP67 Waterproof Bluetooth For Android ios Smartwatches Smart Wearable Fitness Electronic Clock,,1299.0,kilimall,
120W USB C Plug 4-Port Charger Plugs Fast Charging Travel Plug Adapter with 2 usb and 2 PD Port Wall Charging Head Universal Power Charging Compatible with Most Electronic Products,,359.0,kilimall,
RichRipple Men and women Sports LED Watch Silicone Colorful Watch Electronic Clock Digital Fashion Clock Smart Watch,,149.0,kilimall,
"KingNote 20000mAh X 2 Power Charging Bank Two pieces in combination portable SUPER Fast charde, charger cell phone, Bluetooth headset and other mobile electronic products",,1560.0,kilimall,
"【Clearance Sale】5-in-1 Electronics Cleaner Kit- Laptop Screen Cleaner kit,Multifunctional Bluetooth Earphones Cleaning Tool for iPhone Charging Port,Headphone,Earphone,Phone Speaker,Earpods",,199.0,kilimall,
"20000mAh Light Beam Power Bank with Fast Charging, Built-in Cables & LED Display portable charde, charger cell phone, Bluetooth headset and other mobile electronic products",,1000.0,kilimall,
Mini 25-in-1 Small Tri Circle Magnetic Precision Screwdriver Set Magnetic Mini Repair Electronics Phone PC Ratchet Drill Socket Repair Tool Bit Portable Professional Kit Set,,289.0,kilimall,
Tagwood 7500W 2.1CH Multimedia Bluetooth Woofer Speaker System Subwoofer Soundbar BT/USB/SD/FM Subwoofer Home Audilo System Soundbar with Remote Control S1 Speaker bass,,3899.0,kilimall,
"【Limited Offer】Euroken EK-26LC24T2 24"" Inch With CAST TV function Full Screen Display Television Ac/dc Digital Led Tv With Inbuilt Decoder For Local Channels Wide Color Enhancer, Usb Hdmi Ports",,4899.0,kilimall,
Y68 Waterproof Smart Watch Bluetooth Watch SmartWatch for Women Electronic Watch for Kids Men Fitness Tracker Men Women Sports Watches Wrist watch Smart Beacelet Kids Smartwatch Kids Watch,,703.0,kilimall,
Wireless Headset Over Ear earphone Noise Cancelling Bluetooth-Compatible 5.0 Sports Game Headset Built-in Mic Applicable to mobile phones computers and electronic products Local fast delivery,,540.0,kilimall,
"Smart LCD Writing Tablet, 8.5 Inch Graphics Tablet Electronic Writing Drawing Colorful Screen Doodle Board For kids",,338.0,kilimall,
Smart Watches Men's Sport Casual LED Watches Men Digital Clock Multi-Functional Rubber Man Fitness Army Military Electronic Watch,,449.0,kilimall,
30W Universal AC to DC Power Adapter - Multi Output Voltages 3V 4.5V 5V 6V 7.5V 9V 12V Switching Power Supply with 8 Selectable Adapter Plugs for Routers Speakers Household Electronic (MAX 2A/2000mA),,1300.0,kilimall,
Third Hand 5X Magnifying Glass Stand For Electronic Works Jeweler Watch Repair Welding Soldering Magnifier With Dual Clips,,1201.0,kilimall,
AILYONS/LYONS ECS2404/LYS2404 woofer speaker system Multimedia Speaker With Powerful Amplifier 18000 PMPO Output Power 25W+10W*2 Speaker System【HOT】,,2399.0,kilimall,
8.5inch LCD Writing Tablet Kids Erasable Colorful Drawing Board Graphic Electronic Writing Drawing Screen Doodle Board Children's Educational Toys,,338.0,kilimall,
Milky White Super Glue T5000 Repair Cell Phone Display Screen 50ML 110ML Adhesive For Glass Electronic Component Laptop Plastic Rubber,,699.0,kilimall,
"Vision Plus VP8850QV 50"" QLED 4K Smart TV – Netflix/YouTube/Prime Video, Inbuilt Decoder, Dolby Audio, Quantum Dot Display + Free Wall Mount (2YRS WRTY)",34070.0,,jumia,2026-05-04 22:06:47.602632
"Amtec 43L12, 43"" FHD Smart Android Frameless TV, Netfix, Youtube, Bluetooth - Black (1YR WRTY)",16743.0,,jumia,2026-05-04 22:06:47.602632
"Vitron HTC3288QS, 32 inch QLED Smart Android TV, QLED Smart TV, Android TV, Q LED - Black (1YR WRTY)",11320.0,,jumia,2026-05-04 22:06:47.602632
"Itel TV 32 inches QLED Smart TV, Frameless, Bluetooth, Android14, Wifi, Digital, Netflix, YouTube, Prime, 32"" television (1 year warranty, New Launch price,wall mount free gift)",10798.0,,jumia,2026-05-04 22:06:47.602632
"Hisense 43A4, 43"" INCH FRAMELESS SMART TELEVISION, FULL HD RESOLUTION, A4K SERIES ,NETFLIX ,YOUTUBE TV,DTS, INBUILT DECODER, BUILT-IN WIFI,VIDAA OS+FREE TV GUARD+BRACKET",24695.0,,jumia,2026-05-04 22:06:47.602632
"Hisense 43'' Inch Smart FHD Frameless,SMART & DIGITAL LED TELEVISION+BRACKET+GUARD",24890.0,,jumia,2026-05-04 22:06:47.602632
Vision Plus VP2111SB Immersive Sound 2.1 CH Sound Bar 240W - Black (2 YRs WRTY),8499.0,,jumia,2026-05-04 22:06:47.602632
Amtec AM-308 3.1CH X-BASS Multimedia Home Theater System – 12000W PMPO - Black (1YR WRTY),3929.0,,jumia,2026-05-04 22:06:47.602632
Lyons LYS2404 2.1CH Multimedia Speaker System Home Theatrer SubWoofer with BT(1YR WRTY),2599.0,,jumia,2026-05-04 22:06:47.602632
"Euroken HS-22LS19T2 19"" Inch Digital LED TV - HD Clear Color, Inbuilt Decoder, HDMI & USB",3999.0,,jumia,2026-05-04 22:06:47.602632
"Gld 32"" Smart Frameless HD LED Television - Black",13795.0,,jumia,2026-05-04 22:06:47.602632
"Skyworth 65Q6500H, 65"" 4K QLED Smart Google TV, Black (1YR WRTY)",74999.0,,jumia,2026-05-04 22:06:47.602632
"K-Elec 55"" 4K Google Smart LED TV | Dolby Atmos Soundbar | Netflix & YouTube | 36-Month Warranty | FREE TV Guard + FREE Wall Mount",41999.0,,jumia,2026-05-04 22:06:47.602632
Lenovo Thinkplus K30 Portable Bluetooth Wireless Speaker Waterproof USB Outdoor Loudspeaker Music Surround Bass Box Speakers,797.0,,jumia,2026-05-04 22:06:47.602632
"Bluetooth Speaker 4D Subwoofer Wired Speaker For Laptop,TV",1059.0,,jumia,2026-05-04 22:06:47.602632
